label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
hola,0.10,0.20,-0.01,0.11,0.21,-0.02,0.12,0.22,-0.03,0.13,0.23,-0.04,0.14,0.24,-0.05,0.15,0.25,-0.06,0.16,0.26,-0.07,0.17,0.27,-0.08,0.18,0.28,-0.09,0.19,0.29,-0.10,0.20,0.30,-0.11,0.21,0.31,-0.12,0.22,0.32,-0.13,0.23,0.33,-0.14,0.24,0.34,-0.15,0.25,0.35,-0.16,0.26,0.36,-0.17,0.27,0.37,-0.18,0.28,0.38,-0.19,0.29,0.39,-0.20,0.30,0.40,-0.21
gracias,0.32,0.11,-0.05,0.33,0.12,-0.05,0.34,0.13,-0.06,0.35,0.14,-0.06,0.36,0.15,-0.07,0.37,0.16,-0.07,0.38,0.17,-0.08,0.39,0.18,-0.08,0.40,0.19,-0.09,0.41,0.20,-0.09,0.42,0.21,-0.10,0.43,0.22,-0.10,0.44,0.23,-0.11,0.45,0.24,-0.11,0.46,0.25,-0.12,0.47,0.26,-0.12,0.48,0.27,-0.13,0.49,0.28,-0.13,0.50,0.29,-0.14,0.51,0.30,-0.14,0.52,0.31,-0.15
a,0.211368,0.135302,-0.0,0.279397,0.190558,-0.01641,0.357767,0.213416,-0.030808,0.414541,0.228841,-0.044843,0.465992,0.25028,-0.055062,0.392474,0.104871,-0.037735,0.393512,0.228266,-0.069511,0.34878,0.268962,-0.081417,0.314967,0.278213,-0.085105,0.357833,0.069009,-0.042264,0.345857,0.213977,-0.069268,0.307245,0.249389,-0.070529,0.281561,0.253984,-0.070695,0.31318,0.052101,-0.049651,0.305877,0.197885,-0.077327,0.279288,0.230684,-0.071891,0.264028,0.23304,-0.065429,0.269391,0.052461,-0.058018,0.270551,0.167086,-0.076261,0.260381,0.204642,-0.073716,0.257068,0.212798,-0.069676
a,0.176982,0.16911,-0.0,0.241908,0.223779,-0.019148,0.323283,0.226146,-0.031506,0.383883,0.221339,-0.041566,0.438464,0.23521,-0.048651,0.356785,0.101687,-0.037904,0.361201,0.223317,-0.068223,0.321311,0.268339,-0.080676,0.287617,0.280741,-0.084974,0.319724,0.064376,-0.039197,0.318328,0.210734,-0.063958,0.276715,0.244713,-0.065454,0.248292,0.247514,-0.06552,0.27347,0.052101,-0.043219,0.275628,0.191281,-0.067883,0.247058,0.221837,-0.063299,0.228215,0.224284,-0.057646,0.224708,0.05468,-0.048593,0.235817,0.157724,-0.065973,0.224536,0.187949,-0.06449,0.215761,0.19221,-0.060701
a,0.167763,0.176529,-1e-06,0.218771,0.249666,-0.021618,0.288062,0.288452,-0.034179,0.345928,0.297656,-0.047414,0.394375,0.310322,-0.057111,0.369147,0.210373,-0.00693,0.380187,0.274496,-0.041683,0.326784,0.282191,-0.065733,0.282719,0.279254,-0.077505,0.36453,0.159691,-0.008736,0.353859,0.228651,-0.042701,0.289152,0.238655,-0.05409,0.244689,0.237724,-0.054197,0.344093,0.113909,-0.016078,0.317886,0.185788,-0.046753,0.260872,0.198562,-0.045727,0.224861,0.196848,-0.036765,0.312686,0.075076,-0.026383,0.288225,0.136882,-0.042161,0.247707,0.156671,-0.038674,0.222222,0.157486,-0.030452
a,0.160516,0.116288,-1e-06,0.191057,0.21926,-0.024255,0.258722,0.29572,-0.03597,0.31562,0.340405,-0.048215,0.353623,0.395358,-0.057754,0.348382,0.263176,-0.011437,0.338404,0.315682,-0.046779,0.281654,0.294607,-0.072067,0.239144,0.269692,-0.08512,0.359124,0.208515,-0.011829,0.32772,0.258838,-0.044784,0.265389,0.234991,-0.05676,0.222211,0.213714,-0.05861,0.352189,0.15314,-0.017926,0.307954,0.194211,-0.047969,0.251085,0.178702,-0.04799,0.213757,0.164786,-0.040959,0.332213,0.099791,-0.027543,0.286347,0.128508,-0.045788,0.24261,0.129682,-0.045766,0.218006,0.126855,-0.04053
a,0.152715,0.116044,-1e-06,0.175837,0.214422,-0.012784,0.242759,0.295739,-0.017578,0.298923,0.349943,-0.025143,0.336214,0.40179,-0.029916,0.324098,0.27513,-0.000399,0.321841,0.336419,-0.032275,0.268814,0.307509,-0.051674,0.230089,0.276178,-0.058449,0.336914,0.222657,-0.004807,0.313124,0.276579,-0.03454,0.255612,0.247547,-0.041352,0.21558,0.22412,-0.036894,0.333833,0.169091,-0.014297,0.290909,0.214845,-0.040293,0.236194,0.19257,-0.035728,0.201768,0.175948,-0.023958,0.319893,0.118002,-0.026157,0.27217,0.147565,-0.04056,0.227491,0.138961,-0.03677,0.203405,0.133172,-0.027497
a,0.219842,0.134042,-0.0,0.254846,0.248116,-0.003229,0.310052,0.328154,-0.002378,0.358471,0.371102,-0.005999,0.397686,0.406969,-0.007997,0.378663,0.307898,0.022315,0.388192,0.366661,0.001225,0.35702,0.353093,-0.015949,0.329681,0.330173,-0.021944,0.393804,0.26442,0.018894,0.388683,0.317389,-0.000301,0.352246,0.302399,-0.010125,0.318949,0.285493,-0.009307,0.397805,0.221568,0.011233,0.375068,0.269991,-0.004855,0.340558,0.256543,-0.003917,0.311354,0.241586,0.004085,0.392386,0.180644,0.001944,0.367955,0.218703,-0.006022,0.337326,0.213801,-0.002636,0.315905,0.207478,0.005967
a,0.257841,0.122871,-0.0,0.283253,0.226468,-0.017294,0.349122,0.300737,-0.022489,0.40661,0.344902,-0.02946,0.446924,0.393079,-0.032569,0.42845,0.270725,-0.001478,0.428336,0.328485,-0.036647,0.374588,0.306558,-0.056072,0.334064,0.28008,-0.061703,0.442663,0.216325,-0.003466,0.421673,0.264361,-0.039921,0.360627,0.241296,-0.046828,0.315088,0.223075,-0.040338,0.440365,0.162305,-0.011754,0.396904,0.20276,-0.045347,0.341731,0.187833,-0.042719,0.30595,0.178195,-0.029481,0.426593,0.113289,-0.022388,0.379102,0.140537,-0.042494,0.334203,0.137268,-0.041853,0.309405,0.138262,-0.033334
a,0.215896,0.116835,-0.0,0.286532,0.170083,-0.015536,0.356949,0.210071,-0.034556,0.406268,0.231765,-0.05308,0.452397,0.238757,-0.068773,0.379841,0.114463,-0.057436,0.376711,0.24091,-0.088706,0.341102,0.271827,-0.099219,0.314681,0.269282,-0.102288,0.336922,0.090751,-0.064678,0.323543,0.243459,-0.089962,0.293036,0.256217,-0.08699,0.273398,0.23794,-0.086037,0.286962,0.083951,-0.072753,0.277479,0.229258,-0.092991,0.254667,0.233603,-0.08018,0.242883,0.211696,-0.072258,0.240269,0.092135,-0.082325,0.231332,0.205731,-0.091056,0.220152,0.209225,-0.080827,0.217914,0.185353,-0.074878
